model,family,corner,seed,dt,dynamic_noise,return_rate,settling_time_p95,residual_p95,reexit_rate,attempted_violations
baseline_ungekoppelt,baseline,nominal,101,0.02,1,1.0,2.603,0.0038418397539357694,0.0,0
baseline_ungekoppelt,baseline,nominal,101,0.02,0,1.0,2.62,0.0003612412819330168,0.0,0
baseline_ungekoppelt,baseline,nominal,101,0.01,0,1.0,2.64,0.00038370910387310216,0.0,0
baseline_ungekoppelt,baseline,nominal,131,0.02,1,1.0,2.6,0.0036770602747046707,0.0,0
baseline_ungekoppelt,baseline,nominal,131,0.02,0,1.0,2.583,0.00029477833301736953,0.0,0
baseline_ungekoppelt,baseline,nominal,131,0.01,0,1.0,2.62,0.0003149529383000842,0.0,0
baseline_ungekoppelt,baseline,nominal,167,0.02,1,1.0,2.56,0.0034787776840182853,0.0,0
baseline_ungekoppelt,baseline,nominal,167,0.02,0,1.0,2.543,0.0003228293907914165,0.0,0
baseline_ungekoppelt,baseline,nominal,167,0.01,0,1.0,2.5715,0.0003428599190653567,0.0,0
baseline_ungekoppelt,baseline,erhoeht,101,0.02,1,1.0,2.8859999999999997,0.007190809329621863,0.0,0
baseline_ungekoppelt,baseline,erhoeht,101,0.02,0,1.0,2.86,0.0013963824791190795,0.0,0
baseline_ungekoppelt,baseline,erhoeht,101,0.01,0,1.0,2.89,0.0014470026378080045,0.0,0
baseline_ungekoppelt,baseline,erhoeht,131,0.02,1,1.0,2.863,0.007188718187674732,0.0,0
baseline_ungekoppelt,baseline,erhoeht,131,0.02,0,1.0,2.84,0.001096213939451399,0.0,0
baseline_ungekoppelt,baseline,erhoeht,131,0.01,0,1.0,2.86,0.0011416821879560624,0.0,0
baseline_ungekoppelt,baseline,erhoeht,167,0.02,1,1.0,3.2430000000000003,0.008028894410074467,0.0,0
baseline_ungekoppelt,baseline,erhoeht,167,0.02,0,1.0,3.2,0.0032695747237118968,0.0,0
baseline_ungekoppelt,baseline,erhoeht,167,0.01,0,1.0,3.23,0.003359674537851053,0.0,0
kontrolle_isotrop_0.34,isotrop,nominal,101,0.02,1,1.0,2.543,0.0031998268902569452,0.0,0
kontrolle_isotrop_0.34,isotrop,nominal,101,0.02,0,1.0,2.56,0.0002120903202500127,0.0,0
kontrolle_isotrop_0.34,isotrop,nominal,101,0.01,0,1.0,2.58,0.00022885181620261938,0.0,0
kontrolle_isotrop_0.34,isotrop,nominal,131,0.02,1,1.0,2.56,0.0028680579124518036,0.0,0
kontrolle_isotrop_0.34,isotrop,nominal,131,0.02,0,1.0,2.56,0.00021378188225230349,0.0,0
kontrolle_isotrop_0.34,isotrop,nominal,131,0.01,0,1.0,2.58,0.00023064742385459552,0.0,0
kontrolle_isotrop_0.34,isotrop,nominal,167,0.02,1,1.0,2.5,0.0027400923019679896,0.0,0
kontrolle_isotrop_0.34,isotrop,nominal,167,0.02,0,1.0,2.5,0.00017581358331769816,0.0,0
kontrolle_isotrop_0.34,isotrop,nominal,167,0.01,0,1.0,2.52,0.00019015551606435362,0.0,0
kontrolle_isotrop_0.34,isotrop,erhoeht,101,0.02,1,1.0,2.66,0.005573201953493208,0.0,0
kontrolle_isotrop_0.34,isotrop,erhoeht,101,0.02,0,1.0,2.68,0.00036057468054577816,0.0,0
kontrolle_isotrop_0.34,isotrop,erhoeht,101,0.01,0,1.0,2.7,0.00038522471245648783,0.0,0
kontrolle_isotrop_0.34,isotrop,erhoeht,131,0.02,1,1.0,2.6630000000000003,0.0062787820298338525,0.0,0
kontrolle_isotrop_0.34,isotrop,erhoeht,131,0.02,0,1.0,2.6430000000000002,0.0003365286710498453,0.0,0
kontrolle_isotrop_0.34,isotrop,erhoeht,131,0.01,0,1.0,2.6715,0.00035984760341762283,0.0,0
kontrolle_isotrop_0.34,isotrop,erhoeht,167,0.02,1,1.0,2.74,0.005799390626868434,0.0,0
kontrolle_isotrop_0.34,isotrop,erhoeht,167,0.02,0,1.0,2.72,0.0003864395014229344,0.0,0
kontrolle_isotrop_0.34,isotrop,erhoeht,167,0.01,0,1.0,2.74,0.00041291678783557595,0.0,0
anisotrop_horizontal_d0.34_t0,anisotrop,nominal,101,0.02,1,1.0,2.563,0.003617996841987079,0.0,0
anisotrop_horizontal_d0.34_t0,anisotrop,nominal,101,0.02,0,1.0,2.58,0.00023866872655009514,0.0,0
anisotrop_horizontal_d0.34_t0,anisotrop,nominal,101,0.01,0,1.0,2.6,0.0002567883189784198,0.0,0
anisotrop_horizontal_d0.34_t0,anisotrop,nominal,131,0.02,1,1.0,2.58,0.0032739229180435226,0.0,0
anisotrop_horizontal_d0.34_t0,anisotrop,nominal,131,0.02,0,1.0,2.56,0.0002383652446270469,0.0,0
anisotrop_horizontal_d0.34_t0,anisotrop,nominal,131,0.01,0,1.0,2.5915,0.0002563316338565607,0.0,0
anisotrop_horizontal_d0.34_t0,anisotrop,nominal,167,0.02,1,1.0,2.503,0.0031071580033812988,0.0,0
anisotrop_horizontal_d0.34_t0,anisotrop,nominal,167,0.02,0,1.0,2.52,0.00021526304532161922,0.0,0
anisotrop_horizontal_d0.34_t0,anisotrop,nominal,167,0.01,0,1.0,2.54,0.000231338900981871,0.0,0
anisotrop_horizontal_d0.34_t0,anisotrop,erhoeht,101,0.02,1,1.0,2.7,0.006100553114382896,0.0,0
anisotrop_horizontal_d0.34_t0,anisotrop,erhoeht,101,0.02,0,1.0,2.72,0.000513214849089891,0.0,0
