model,corner,seed,dt,dynamic_noise,return_rate,settling_time_p95,residual_p95,reexit_rate,attempted_violations
baseline_ein_zustand,nominal,101,0.02,1,1.0,2.5,0.0031885825872065565,0.0,0
baseline_ein_zustand,nominal,101,0.02,0,1.0,2.48,0.0002377897382584801,0.0,0
baseline_ein_zustand,nominal,101,0.01,0,1.0,2.5100000000000002,0.0002544056227689023,0.0,0
baseline_ein_zustand,nominal,131,0.02,1,1.0,2.64,0.0033869169538136685,0.0,0
baseline_ein_zustand,nominal,131,0.02,0,1.0,2.64,0.00037036330569519633,0.0,0
baseline_ein_zustand,nominal,131,0.01,0,1.0,2.67,0.0003940623213295321,0.0,0
baseline_ein_zustand,nominal,167,0.02,1,1.0,2.56,0.0034863861621334358,0.0,0
baseline_ein_zustand,nominal,167,0.02,0,1.0,2.54,0.0002834088249312612,0.0,0
baseline_ein_zustand,nominal,167,0.01,0,1.0,2.57,0.0003022607841676991,0.0,0
baseline_ein_zustand,erhoeht,101,0.02,1,1.0,2.7,0.006894918985627932,0.0,0
baseline_ein_zustand,erhoeht,101,0.02,0,1.0,2.68,0.00047767757905939297,0.0,0
baseline_ein_zustand,erhoeht,101,0.01,0,1.0,2.7,0.0005053932252357992,0.0,0
baseline_ein_zustand,erhoeht,131,0.02,1,1.0,3.046,0.007228952305629048,0.0,0
baseline_ein_zustand,erhoeht,131,0.02,0,1.0,3.06,0.0024188849263553996,0.0,0
baseline_ein_zustand,erhoeht,131,0.01,0,1.0,3.09,0.0024918605231945778,0.0,0
baseline_ein_zustand,erhoeht,167,0.02,1,1.0,2.7600000000000002,0.006998518441956024,0.0,0
baseline_ein_zustand,erhoeht,167,0.02,0,1.0,2.74,0.0008886178154433042,0.0,0
baseline_ein_zustand,erhoeht,167,0.01,0,1.0,2.7600000000000002,0.0009267852863150242,0.0,0
zwei_zustaende_l0.8_s2_a0.25,nominal,101,0.02,1,1.0,4.86,0.02172264808929752,0.0,0
zwei_zustaende_l0.8_s2_a0.25,nominal,101,0.02,0,1.0,4.86,0.021126793280633868,0.0,0
zwei_zustaende_l0.8_s2_a0.25,nominal,101,0.01,0,1.0,4.8725000000000005,0.02149605491551653,0.0,0
zwei_zustaende_l0.8_s2_a0.25,nominal,131,0.02,1,1.0,4.66,0.018396843697501455,0.0,0
zwei_zustaende_l0.8_s2_a0.25,nominal,131,0.02,0,1.0,4.64,0.01743500425472655,0.0,0
zwei_zustaende_l0.8_s2_a0.25,nominal,131,0.01,0,1.0,4.6625,0.017758132242814587,0.0,0
zwei_zustaende_l0.8_s2_a0.25,nominal,167,0.02,1,1.0,4.74,0.019174914200493443,0.0,0
zwei_zustaende_l0.8_s2_a0.25,nominal,167,0.02,0,1.0,4.72,0.018814023900777143,0.0,0
zwei_zustaende_l0.8_s2_a0.25,nominal,167,0.01,0,1.0,4.7425,0.0191534748013335,0.0,0
zwei_zustaende_l0.8_s2_a0.25,erhoeht,101,0.02,1,1.0,5.0600000000000005,0.027966062230987982,0.0,0
zwei_zustaende_l0.8_s2_a0.25,erhoeht,101,0.02,0,1.0,5.04,0.026435595276157662,0.0,0
zwei_zustaende_l0.8_s2_a0.25,erhoeht,101,0.01,0,1.0,5.0600000000000005,0.02679515283504881,0.0,0
zwei_zustaende_l0.8_s2_a0.25,erhoeht,131,0.02,1,1.0,5.05,0.028316655768493966,0.0,0
zwei_zustaende_l0.8_s2_a0.25,erhoeht,131,0.02,0,1.0,5.0,0.025812876661283377,0.0,0
zwei_zustaende_l0.8_s2_a0.25,erhoeht,131,0.01,0,1.0,5.022500000000001,0.02616351125759691,0.0,0
zwei_zustaende_l0.8_s2_a0.25,erhoeht,167,0.02,1,1.0,5.265,0.03245625603636823,0.0,0
zwei_zustaende_l0.8_s2_a0.25,erhoeht,167,0.02,0,1.0,5.22,0.030769520159588115,0.0,0
